epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.697,1.39756,2.23753,1.71364,0.53831,0.2888,0.20878,0.08029,1.92477,3.57299,2.41704,0.0674473,0.000752703,0.000752703
2,682.698,1.39409,2.03318,1.71743,0.49225,0.51009,0.48186,0.27973,1.63662,2.13328,2.03757,0.0348176,0.00145634,0.00145634
3,1014.07,1.32039,1.89217,1.65467,0.49024,0.5796,0.56044,0.33345,1.43439,1.92939,1.86108,0.00213815,0.00211025,0.00211025
4,1343.33,1.25894,1.73839,1.60339,0.57031,0.58843,0.57768,0.34904,1.42804,1.67819,1.83883,0.00203626,0.00203626,0.00203626
5,1671.31,1.19466,1.62388,1.55537,0.64626,0.58712,0.62966,0.36624,1.45137,1.56816,1.91712,0.00196168,0.00196168,0.00196168
6,1998.75,1.16163,1.52448,1.51877,0.6796,0.66039,0.68997,0.45636,1.20472,1.32162,1.60402,0.0018871,0.0018871,0.0018871
7,2326.35,1.14291,1.46135,1.50166,0.69835,0.69189,0.73014,0.4792,1.17586,1.28636,1.56559,0.00181252,0.00181252,0.00181252
8,2654.03,1.10368,1.38158,1.46783,0.7296,0.66149,0.73599,0.49876,1.16158,1.2766,1.55604,0.00173794,0.00173794,0.00173794
9,2981.56,1.09757,1.36226,1.45974,0.70829,0.69078,0.73619,0.49,1.15455,1.23431,1.56623,0.00166336,0.00166336,0.00166336
10,3309.32,1.05167,1.29068,1.42752,0.70191,0.71506,0.75706,0.52984,1.087,1.10353,1.47969,0.00158878,0.00158878,0.00158878
11,3637.15,1.04553,1.2637,1.42301,0.75906,0.74626,0.78997,0.54262,1.08908,1.07876,1.49708,0.0015142,0.0015142,0.0015142
12,3964.57,1.03217,1.22587,1.41238,0.74671,0.75204,0.79926,0.56356,1.06295,1.02091,1.4583,0.00143962,0.00143962,0.00143962
13,4295.35,1.02003,1.20428,1.39564,0.79061,0.75391,0.80329,0.57363,1.04449,1.00451,1.42781,0.00136504,0.00136504,0.00136504
14,4622.34,1.00193,1.16496,1.38126,0.77468,0.76355,0.80839,0.57538,1.02976,0.96088,1.43574,0.00129046,0.00129046,0.00129046
15,4951.86,0.98345,1.13165,1.36828,0.79443,0.77315,0.8239,0.59536,0.97615,0.9435,1.3723,0.00121588,0.00121588,0.00121588
16,5280.76,0.97181,1.10817,1.35654,0.77629,0.78463,0.82319,0.6039,0.95811,0.90722,1.34934,0.0011413,0.0011413,0.0011413
17,5608.25,0.96109,1.07993,1.35234,0.78929,0.7907,0.83851,0.61167,0.96501,0.88198,1.35248,0.00106672,0.00106672,0.00106672
18,5935.39,0.94256,1.04408,1.33691,0.78479,0.77954,0.83093,0.61718,0.93937,0.90222,1.3226,0.00099214,0.00099214,0.00099214
19,6263.05,0.93873,1.04436,1.33097,0.79577,0.79359,0.83531,0.61549,0.95284,0.86841,1.35221,0.00091756,0.00091756,0.00091756
20,6590.38,0.91783,0.99463,1.31171,0.78864,0.78892,0.8521,0.63608,0.93109,0.82523,1.31434,0.00084298,0.00084298,0.00084298
21,6928.38,0.91015,0.84896,1.35272,0.82579,0.81036,0.8695,0.64632,0.91169,0.77995,1.29534,0.0007684,0.0007684,0.0007684
22,7257.32,0.88013,0.7916,1.32659,0.7934,0.81552,0.86207,0.64556,0.89444,0.7842,1.2755,0.00069382,0.00069382,0.00069382
23,7582.43,0.86109,0.76068,1.3098,0.83104,0.81358,0.8733,0.66141,0.87668,0.75358,1.27106,0.00061924,0.00061924,0.00061924
24,7906.49,0.83081,0.72977,1.2886,0.81374,0.83055,0.87597,0.67337,0.85768,0.72584,1.2504,0.00054466,0.00054466,0.00054466
25,8231.19,0.81838,0.70462,1.27347,0.83995,0.84069,0.88859,0.67806,0.85063,0.70698,1.23599,0.00047008,0.00047008,0.00047008
26,8556.43,0.79461,0.67997,1.25576,0.86277,0.83475,0.89319,0.68027,0.85055,0.68895,1.24121,0.0003955,0.0003955,0.0003955
27,8880.68,0.78724,0.65717,1.24256,0.87278,0.83801,0.89968,0.69093,0.84148,0.66152,1.22976,0.00032092,0.00032092,0.00032092
28,9205.45,0.77402,0.63491,1.23297,0.85124,0.848,0.89788,0.69474,0.82904,0.66114,1.22284,0.00024634,0.00024634,0.00024634
29,9531.2,0.75086,0.61514,1.21958,0.8617,0.84524,0.901,0.69813,0.81612,0.64711,1.20588,0.00017176,0.00017176,0.00017176
30,9856.51,0.73973,0.59926,1.20878,0.86968,0.84393,0.9039,0.70098,0.81397,0.6408,1.20385,9.718e-05,9.718e-05,9.718e-05
